phone_name	size	color	username	star	title	date	review
iPhone XS	64GB	Or	Hicham	1	Arnaque	2018-12-06	"C un arnaque , ils m'ont  filé in telephone chinois , alors que j'ai acheté un iphone xs"
iPhone XS	256GB	Gris	Sebmontana	1	Mauvais produit !	2018-12-04	Reçu un Archos à la place d'un iphone xs 256go !!
iPhone XS	64GB	Gris	Client d'Amazon	1	Avoir le bon article c’est mieux..	2018-12-08	Ça aurait pu être bien sauf que Le produit n’est absolument pas le bon article....
iPhone XS	64GB	Or	Sebastien	1	ARNAQUE	2018-12-06	GROSSE ARNAQUE ! Ne pas acheter ce produit ! J’ai reçu un Archos ! 1200€ pour un Archos !
iPhone XS	256GB	Argent	ID.Nowski	1	Faux produit	2018-12-08	Arnaque !
iPhone XS	64GB	Argent	Delphine	5	iPhone XS A2097	2018-11-03	Modèle iPhone XS A2097 à destination du marché européen. Le même qu’en Apple store mais 100€ moins chèr.Prise secteur européenne. Livrée avec écouteur filaire.
iPhone XS	256GB	Gris	Stéphane	5	La perfection ?	2018-12-27	"Produit conforme à l'annonce. Reçu dans sa boite parfaitement sellée.Personnellement, j'ai préféré passer par Amazon pour être certain de la qualité et de la conformité. Je pense que pour un produit à plus de 1200 EUR, mieux vaut payer 50-100 EUR de plus et être certain de la provenance (bcp de produits Chinois reconditionnés...).La taille est parfaite, mais j'ai mis un peu de temps à m'habituer au poids (j'avais un iPhone 6 bien plus léger).Mais la vitesse et la facilité d'utilisation est bien meilleure, donc on s'y fait rapidement ! :)J'ai eu quelques soucis de transport avec Amazon, qui ont mis deux semaines à se résoudre, mais j'ai finalement tout bien reçu.Je recommande."
iPhone XS	64GB	Or	Julien	4	Meilleur que le X	2018-10-28	"Le produit est OK. Côté paquet, je trouve ça assez moyen pour un produit assez fragile : une boite Amazon un peu plus grande que le produit et un vague bout de papier carton pour ""éviter"" à la boîte du téléphone de bouger. Le papier ne sert absolument à rien, en le prenant, la boite du téléphone bougeait dedans et un des coins de la boite (uniquement ça fort heureusement) est abîmée.Quant à la livraison, je suis à la fois ravi et un peu en colère : la livraison s'est faite très rapidement, dans les délais indiqués par contre j'aurai préféré un colis contre livraison pour une commande d'une certaine somme... Un paquet uniquement dans la boite aux lettres, c'est moyen. Je n'ai qu'à me faire passer pour mon voisin et croiser le postier pour qu'il me la remette...Enfin bref : Produit 5/5 ; Colis 3/5 ; Livraison 4/5"
iPhone XS	64GB	Gris	Vhee	5	"Que dire, c'est Apple ☺️ Batterie > 24h"	2019-02-12	"Ce que j'ajoute de plus par rapport à la descriptionLa batterie est excellent, elle dure plus que 24h de change, 28 heures pour moi.A 24 heures près j'ai encore 25% de jus dans ma batterie. A tel point que j'avais une batterie externe pour mon iPhone XS, je l'ai retourné car c'était absolument inutile.Tout est parfait, le vendeur m'a livré en express ce qui ma fait plaisir. 1 jours pour la livraison.N'hésiter pas à me poser des questionsCordialement."
iPhone XS	256GB	Gris	Client d&#39;Amazonhaillard	1	Remboursement de la différence ou retour ?	2018-11-20	J'ai acheté un 256 gb et lil s'agit en fait d'un 64 gb
iPhone XS	256GB	Or	elias-d	4	Un peu cher	2019-01-03	"Tres très beau téléphone, que j’ai eu la chance d’avoir à moitié prix grâce à mon travail car honnêtement il est beaucoup trop cher.il fonctionne parfaitement l’écran est magnifique, l’appareil photo également, il produit un son de très bonne qualité pour un téléphone.La reconnaissance faciale marche assez bien mais il faut tout de même régulièrement entrer son code en raison de raté.Attention à bien le protéger par un film en verre trempé car l’écran se raye facilement.Si le prix n’est pas un critère pour vous foncer, sinon vous trouverez quasi aussi bien pour moins cher"
iPhone XS	64GB	Or	HOUT AL HOCEIMA	4	UN BIJOU TECHNOLOGIQUE TROP CHÈRE	2019-06-26	"Que dire de l’iPhone Xs après 3 mois d’utilisation? Sans être non plus ébouriffant sur le plan du design, le téléphone est tout de même assez élégant et il offre une prise en main plutôt confortable. L’encoche est évidemment très présente, notamment en vidéo, mais les performances offertes par Face ID suffisent à faire passer la pilule.L’écran est énorme. La dalle utilisée est clairement une des meilleures du marché et c’est un véritable régal pour les yeux. Rien à dire non plus au niveau du processeur. Il sera en mesure d’encaisser sans broncher tout ce que vous lui ferez subir. L’autonomie, en revanche, elle est peu perfectible. Ce n’est pas catastrophique, c’est vrai, du moins pas autant que je l’aurais pensé, Maintenant il y a la question du prix. Et là, il y a un franchement un problème. Certains d’entre vous s’en sont sans doute rendu compte, mais le prix de nos téléphones a littéralement explosé au cours de cette dernière décennie.En 2007 ou en 2008, le prix moyen d’un téléphone haut de gamme tournait autour des 650 € à peu près. Et maintenant, on tourne plutôt autour des 1000 €. Apple va encore plus loin et l’iPhone Xs est proposé à partir de 1155 € en France. Pour vous donner un ordre d’idée, le SMIC français a atteint les 1200 €Ça fait très mal, c’est clair, et il n’y a pas besoin d’avoir fait de grandes études en économie pour comprendre que l’iPhone est clairement en train de devenir un produit de luxe. Dans le mauvais sens du terme.Avec un tel prix, on peut se demander comment Apple fait pour continuer à vendre des téléphones. La réponse tient en un seul mot : l’écosystème. Contrairement à un LG, un HTC ou même à un Sony, l’iPhone a un véritable écosystème derrière lui et c’est précisément ce qui fait sa richesse."
iPhone XS	64GB	Gris	Mataerco	1	il y a eu un défaut au niveau de la batterie	2018-12-14	au bout de une semaine je me suis rendu compte qu'il se déchargeait vite et pour en finir Apple m'a changé le téléphone
iPhone XS	256GB	Argent	JAKE	5	Produit neuf original Apple livraison express par Amazon.  Au top !	2018-10-23	Au top le dernier iPhone Xs 256go avec reconnaissance faciale bluffante. Ergonomique par rapport à mon iphone 7plus. Je n'ai pas encore testé la batterie mais déjà au niveau de la prise en main c'est Apple ! Simple et efficace. J'ai reçu mon iphone 24h après la commande chapeau Amazon !!! Directement livré en Colissimo donc sécuritaire. J'avais un peu peur au début mais je vous confirme comme vous pouvez le voir sur les photos arrivé sous blister Neuf et original.
iPhone XS	64GB	Argent	Ace	5	Article conforme	2019-03-16	"Livraison rapide, produit conforme c’est bien un iPhone et de Apple. En l’occurrence le blanc et beaucoup plus beau que le noir.J’avais un peu peur a cause des commentaires négatifs. Heureusement une deuxième fois de plus Amazon ne m’a pas déçue c’est le deuxième téléphone que j’achète."
iPhone XS	256GB	Argent	soufyane boutiba	5	tres bon qualité	2018-12-01	sa fait une semaine qui j'ai acheté iphone xs vraiment je suis satisfait jusqua mnt car telephone neuf dans sa boite mais j'ai pas aimer la façon de livraison mettre direct de ma boite de lettre sans signature ni rien malgré il y avait la pluie averse heureusement pas touché le telephone
iPhone XS	64GB	Or	Kevsou	1	Arnaque	2018-12-24	Arnaque!
iPhone XS	64GB	Gris	Client d'Amazon	2	Iphone OK mais livraison à désirer	2018-12-23	"Bonjour,Le produit est totalement conforme et neuf. A contrario, la livraison étant indiqué ""Remise contre signature"", or le produit a été laissé dans la boîte au lettre. Pour un produit à un tel montant, cela est un peu limite."
iPhone XS	256GB	Argent	User	5	Nikel	2018-11-07	Parfait. Boite modèle Slovaque ou Tchèque.Aucun problème.
iPhone XS	64GB	Argent	nequecaur chuburu	1	Téléphone neuf et rayé ??	2019-01-24	Acheter pour travailler et personnel et là premier téléphone par Amazone très déçu produit d’occadion Avec des rayures hé que dire ben c’est la dernière fois et je ne ferais de bonne pub pour un téléphone à plus de 1000 euros
iPhone XS	64GB	Or	mAmclaire	5	La Qualité est au rdv	2019-04-09	"Ok c’est cher, ok c’est apple... mais bon sang ça fonctionne, c’est fluide, les photos sont magnifiques, l’ecran idem. La reduction appliquée par amazon et le paiement en plusieurs fois m’ont permis d’acquerir ce bijou de technologie. A protéger... car le dos en verre me semble fragile."
iPhone XS	64GB	Or	Ibrahim	1	Minable	2018-12-22	"J'ai reçu un autre téléphone pourri au lieu de l'iphone XS, déçu !!!"
iPhone XS	64GB	Or	A.C	1	Produits défectueux	2019-04-19	J'ai acheté ce produit sans tenir compte des avis antérieurs. Dès que je l'ai allumé la configuration était très lente et il est devenu très chaud. Impossible de le garder à la main. Je suis très déçue car il s'agit d'un produits vendu par Amazon!!!
iPhone XS	64GB	Gris	Airwolf33	5	Apple tout simplement	2018-12-09	"Parfait, rien de particulier à dire, c’est juste le top des iphone ! Il ne reste plus qu’a ce que nos chers opérateurs français activent la gestion de l’esim !"
iPhone XS	256GB	Argent	Gg	5	Super smartphone !	2019-01-25	"Avec 300€ de réduction lors du black friday, c'est une super affaire. La reconnaissance faciale est parfaite sauf dans la pénombre et le noir complet. L'Os est terriblement ergonomique, l'écran magnifique, l'appareil photo très performant.Je n'ose pas tester l'étanchéité."
iPhone XS	256GB	Gris	Client d'Amazon	5	"Parfait, Aucun problème"	2019-03-26	"Un peu réticent après certains commentaires mais aucun soucis de mon côté.Téléphone arriver avec un peu de retard, mais ça arrive.Pas de archos, ou autre.iPhone bien référencé sur Apple au jour de l'achat permettant la souscriptionau programme Apple Care + par exemple."
iPhone XS	256GB	Or	FRED	5	AMAZON PARFAIT	2019-06-06	REÇU EN 24 HEURESPARFAIT ET CONTRE SIGNATURE ENCORE PARFAITTÉL DE FOU ET MAGNIFIQUERIEN A REDIREMERCI ENCORE A AMAZON
iPhone XS	64GB	Argent	Godin F	5	Parfait	2018-11-09	"Commande reçue en 3 jours, les délais sont respecté et l'iPhone XS était conforme à mes exigences (neuf sous scéllé). Je recommande"
iPhone XS	64GB	Argent	KEBIR Fatima	5	Au top	2018-11-26	"Parfait ! Livraison très rapide en Chronopost, donc signature à la réception ce qui rassure.Produit conforme, je suis fan de mon nouvel iPhone !"
iPhone XS	256GB	Or	Tosage	5	Parfait !	2019-01-01	"Téléphone magnifique à la hauteur de son prix si je puis dire.Vraiment un beau produit, fonctionne parfaitement, livraison par UPS vraiment moyenne (colis trempé, laissé sur le pas de ma porte à la vue de tous dans un terrain non fermé..., bon de livraison signé par l'agent, bref pas top UPS).Je ne regrette pas mon achat, il est temps de le rentabiliser désormais ;)"
iPhone XS	256GB	Gris	Patrick	1	Marche pas	2018-12-25	Livraison impeccableMais marche pas... et on doit se débrouiller seul pour faire réparer. Pour des produits comme cela il devrait y avoir un remplacement t de prévu
iPhone XS	64GB	Argent	V. Ludovic	5	Parfait	2018-12-16	Très bon téléphone avec une très belle finition normal vu le prix.Une autonomie correcte mais Apple a encore des progrès à faire de ce côté là.Les photos sont superbes.
iPhone XS	256GB	Gris	lancelita	1	Non conforme	2019-01-27	"Si j’aurais pu mettre zéro étoile je l’aurais fait ! Mauvais article reçu dans la boîte pas d’iPhone XS, j’ai retourné mon colis et je suis dans l’attente d’un remboursement qui se fait long très long à venir"
iPhone XS	256GB	Gris	Joseph M.	5	iPhone XS neuf conforme à la description	2019-05-30	"iPhone XS neuf conforme à la description, mais à un prix très compétitif.Garantie 2 ans Apple affichée dans le menu du téléphone après activation de ce dernier.Ce n’est pas un produit reconditionné.Je recommande fortement."
iPhone XS	256GB	Gris	BENZAk	5	super vendeur	2018-10-21	"super vendeur , à l'ecoute"
